mturk,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_6.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,N,caption,class_caption,model_guessed,target_idx,image_set,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,Q_id,block,is_check,date,expName,psychopyVersion,OS,frameRate
8409597,space,9.5169,space,27.5238,0.23046875,0.122395833,1,0,0,ex4,space,8.4874,space,54.958,space,1.4706,0.04296875,0.111979167,1,0,0,image_2,0,0,0,23,1,1484,A group of people walking down a runway.,M,0,1,MSR-VTT-videoTestVideo_video9289-shot1_0,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img9.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img15.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img17.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img30.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img37.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img43.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img54.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img62.jpg,Images/MSR-VTT-videoTestVideo_video9289-shot1_0/img69.jpg,1565,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.520833333,-0.162760417,1,0,0,image_9,0,1,1,60,1,2,Green type writer with a red tape. ,H,,9,open-images-531_0dd4eb59d465a8be,Checks/check3/open-images-503_1ccd6fa641154ebbimg7.jpg,Checks/check3/open-images-1852_00faf52058ad28b8img4.jpg,Checks/check3/open-images-386_1b2e28d6d994603eimg1.jpg,Checks/check3/open-images-471_1121e9f97c200ac0img8.jpg,Checks/check3/open-images-1886_3db71eaddb618934img8.jpg,Checks/check3/open-images-1696_20a4ebf0c0f76b05img6.jpg,Checks/check3/open-images-2447_128483a48e1552f4img6.jpg,Checks/check3/open-images-2994_9965cbf8aa20bda0img2.jpg,Checks/check3/open-images-1068_03d63613107970b3img6.jpg,Checks/check3/open-images-531_0dd4eb59d465a8beimg9.jpg,,,1,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,-0.001302083,0.153645833,1,0,0,image_2,0,2,2,52,1,331,Half of the white circle on the back of the car is visible. ,H,0,2,MSR-VTT-videoTestVideo_video9668-shot1_1,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img45.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img53.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img55.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img60.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img65.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img67.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img75.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img84.jpg,Images/MSR-VTT-videoTestVideo_video9668-shot1_1/img93.jpg,637,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.43359375,-0.170572917,1,0,0,image_9,0,3,3,41,1,955,There is no hand visible. The corner to the top right of the bowl is lit up a bit.,H,1,8,MSR-VTT-videoTestVideo_video8853-shot1_1,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img151.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img163.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img165.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img173.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img189.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img207.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img215.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img250.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img286.jpg,Images/MSR-VTT-videoTestVideo_video8853-shot1_1/img305.jpg,472,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,-0.40625,-0.1015625,1,0,0,image_5,0,4,4,1,1,1791,A child is standing next to a Mickey Mouse themed toy.,M,0,8,video-storytelling-videobirthday__amwPjAcoC8-shot34_0,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img0.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img2.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img4.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img9.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img12.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img14.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img19.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img28.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img36.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot34_0/img40.jpg,1751,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.475260417,0.091145833,1,0,0,image_4,0,5,5,15,1,1962,a close up of a bowl of food on a table.,M,0,8,MSR-VTT-videoTestVideo_video8776-shot1_0,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img9.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img11.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img12.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img18.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img23.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img25.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img28.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img32.jpg,Images/MSR-VTT-videoTestVideo_video8776-shot1_0/img166.jpg,814,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.423177083,-0.151041667,1,0,0,image_9,0,6,6,46,1,1651,A woman sitting on a bench with a drink in her hand.,M,0,3,video-storytelling-videocamping_1OzbiB1TIWI-shot17_3,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img147.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img148.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img149.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img152.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img153.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img156.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img157.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img159.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img161.jpg,Images/video-storytelling-videocamping_1OzbiB1TIWI-shot17_3/img166.jpg,1301,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.20703125,0.092447917,1,0,0,image_3,0,7,7,42,1,1959,A man holding a cell phone in his hand.,M,1,7,MSR-VTT-videoTestVideo_video9389-shot1_0,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img52.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img102.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img108.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img129.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img151.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img154.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img160.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img169.jpg,Images/MSR-VTT-videoTestVideo_video9389-shot1_0/img173.jpg,1240,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,0.497395833,-0.12890625,1,0,0,image_9,0,8,8,5,1,420,There's an explosion or fire. The men in front are bent at the waist and toppling over. The man on the right in the background is leaning to the right. There isn't a blur.,H,1,9,MSR-VTT-videoTestVideo_video8547-shot1_1,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img35.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img41.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img43.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img44.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img46.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img49.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img52.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img57.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img60.jpg,Images/MSR-VTT-videoTestVideo_video8547-shot1_1/img64.jpg,1777,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
,,,,,,,,,,,,,,,,,-0.450520833,0.141927083,1,0,0,image_0,0,9,9,20,1,666,The man's right eye is 40% visible.,H,0,0,MSR-VTT-videoTestVideo_video8125-shot1_0,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img2.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img4.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img6.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img7.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img9.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img10.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img12.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img17.jpg,Images/MSR-VTT-videoTestVideo_video8125-shot1_0/img21.jpg,157,10,0,2022-06-15_10h46.21.965,annotation,2021.2.3,Win32,59.90534955
