mturk,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_6.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,N,caption,class_caption,model_guessed,target_idx,image_set,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,Q_id,block,is_check,date,expName,psychopyVersion,OS,frameRate,key_resp_7.keys,key_resp_7.rt
7128245,space,3.0566,space,1.629,0.203125,0.053385417,1,0,0,ex4,space,3.567099999,space,7.067200001,space,2.024299999,-0.506510417,0.130208333,1,0,0,6.417200001,image_0,0,0,0,22,1,661,All but the very back of the bun on the back of the flannel wearing man is visible,H,0,5,MSR-VTT-videoTestVideo_video9758-shot2_1,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img34.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img39.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img50.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img54.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img57.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img59.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img66.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img69.jpg,Images/MSR-VTT-videoTestVideo_video9758-shot2_1/img72.jpg,321,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,-0.028645833,-0.088541667,1,0,0,5.67,image_7,0,1,1,15,1,1482,A person is holding a banana in their hand.,M,0,6,MSR-VTT-videoTestVideo_video7739-shot1_1,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img88.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img125.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img131.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img151.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img156.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img167.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img175.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img177.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img179.jpg,Images/MSR-VTT-videoTestVideo_video7739-shot1_1/img203.jpg,374,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,-0.165364583,0.127604167,1,0,0,0.6022,image_1,0,2,2,7,1,1273,A girl wearing a blue skull helmet is wearing a helmet.,M,0,1,video-storytelling-videobirthday__amwPjAcoC8-shot79_1,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img35.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img38.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img43.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img49.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img54.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img59.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img62.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img71.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img77.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot79_1/img80.jpg,1897,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,0.08203125,0.11328125,1,0,0,0.4089,image_2,0,3,3,54,1,316,A non close up shot of a grey horse facing a fence,H,0,0,MSR-VTT-videoTestVideo_video8242-shot2_1,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img53.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img56.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img58.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img59.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img61.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img62.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img63.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img65.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img67.jpg,Images/MSR-VTT-videoTestVideo_video8242-shot2_1/img68.jpg,1835,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,0.2421875,0.135416667,1,0,0,0.1756,image_3,0,4,4,31,1,1151,A person walking around with a skateboard in the air.,M,0,3,MSR-VTT-videoTestVideo_video7522-shot4_3,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img100.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img102.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img104.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img107.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img112.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img115.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img121.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img122.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img126.jpg,Images/MSR-VTT-videoTestVideo_video7522-shot4_3/img127.jpg,1605,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,0.41796875,0.098958333,1,0,0,0.564,image_4,0,5,5,1,1,284,the child's reaching hand is roughly level with where his chin would be,H,0,7,video-storytelling-videobirthday__amwPjAcoC8-shot73_1,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img49.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img54.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img59.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img64.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img67.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img69.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img71.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img75.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img78.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot73_1/img80.jpg,249,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,-0.036458333,-0.08203125,1,0,0,0.307099999,image_7,0,6,6,27,1,1617,A person is holding a plate of food on top of a plate.,M,0,7,MSR-VTT-videoTestVideo_video7321-shot1_3,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img281.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img288.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img293.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img314.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img316.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img325.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img328.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img331.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img345.jpg,Images/MSR-VTT-videoTestVideo_video7321-shot1_3/img347.jpg,86,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,-0.276041667,-0.126302083,1,0,0,2.9707,image_6,0,7,7,41,1,1285,A couple of men sitting at a table with food.,M,0,5,MSR-VTT-videoTestVideo_video9327-shot1_0,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img3.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img26.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img31.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img39.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img43.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img46.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img48.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img53.jpg,Images/MSR-VTT-videoTestVideo_video9327-shot1_0/img61.jpg,629,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,-0.005208333,0.1328125,1,0,0,1.3579,image_2,0,8,8,3,1,1109,A girl playing with a Frisbee in a yard.,M,0,8,MSR-VTT-videoTestVideo_video7428-shot2_1,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img31.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img35.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img41.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img45.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img50.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img53.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img56.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img60.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img65.jpg,Images/MSR-VTT-videoTestVideo_video7428-shot2_1/img66.jpg,2014,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
,,,,,,,,,,,,,,,,,0.484375,-0.092447917,1,0,0,1.3537,image_9,0,9,9,35,1,1203,A man standing next to a woman in a dress.,M,0,1,MSR-VTT-videoTestVideo_video9466-shot2_1,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img38.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img43.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img48.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img53.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img64.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img72.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img74.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img80.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img83.jpg,Images/MSR-VTT-videoTestVideo_video9466-shot2_1/img95.jpg,882,14,0,2022-06-17_10h13.34.941,annotation,2021.2.3,Win32,29.90967279,,
