mturk,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.rt,key_resp_6.keys,key_resp_6.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,N,caption,class_caption,model_guessed,target_idx,image_set,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,Q_id,block,is_check,date,expName,psychopyVersion,OS,frameRate,key_resp_7.keys,key_resp_7.rt
6634122,space,32.226,space,13.3191,0.252604167,0.119791667,1,0,0,ex4,space,8.3323,space,13.6733,space,6.2277,-0.53515625,0.154947917,1,0,0,image_0,0,0,0,44,1,724,"You see two blurry green grass peices connected on the top left, The top edge you can see two green grass pieces. The left one is pointing to the bottom right corner, the littlest one is pointing down.",H,0,4,MSR-VTT-videoTestVideo_video7295-shot1_13,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img251.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img254.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img255.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img258.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img262.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img264.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img266.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img268.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img271.jpg,Images/MSR-VTT-videoTestVideo_video7295-shot1_13/img272.jpg,1587,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.03125,-0.139322917,1,0,0,image_7,0,1,1,55,1,2014,A group of children sitting at a table with a cake.,M,0,6,video-storytelling-videobirthday__amwPjAcoC8-shot21_0,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img0.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img6.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img9.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img16.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img24.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img41.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img45.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img54.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img59.jpg,Images/video-storytelling-videobirthday__amwPjAcoC8-shot21_0/img66.jpg,1083,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.220052083,-0.10546875,1,0,0,image_6,0,2,2,24,1,395,The child is looking down at the present and slightly to the left in this slightly blurry pic,H,0,1,video-storytelling-videochristmas_5RR_sRzKODA-shot23_8,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img330.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img331.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img334.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img338.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img342.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img347.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img354.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img360.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img362.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot23_8/img370.jpg,444,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.462239583,0.20703125,1,0,0,image_0,0,3,3,7,1,464,The dog's head is barely touching the top of the image.,H,0,2,video-storytelling-videochristmas_5RR_sRzKODA-shot20_4,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img97.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img101.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img102.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img103.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img104.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img106.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img110.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img114.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img116.jpg,Images/video-storytelling-videochristmas_5RR_sRzKODA-shot20_4/img119.jpg,628,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.462239583,0.1875,1,0,0,image_0,0,4,4,15,1,1813,A man is standing in front of a computer screen.,M,0,8,MSR-VTT-videoTestVideo_video8216-shot1_0,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img9.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img14.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img38.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img52.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img81.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img115.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img130.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img143.jpg,Images/MSR-VTT-videoTestVideo_video8216-shot1_0/img146.jpg,166,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,0.197916667,0.169270833,1,0,0,image_3,0,5,5,17,1,27,A man is looking out of a window.  You can see a hand appear on the far left of the screen next to a red object that is hanging. ,H,0,1,MSR-VTT-videoTestVideo_video8325-shot3_0,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img3.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img8.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img13.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img25.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img28.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img33.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img38.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img40.jpg,Images/MSR-VTT-videoTestVideo_video8325-shot3_0/img41.jpg,1345,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,0.1796875,-0.09375,1,0,0,image_8,0,6,6,12,1,23,The hamster right leg is the touching the finger holding it down.,H,0,1,MSR-VTT-videoTestVideo_video8672-shot1_1,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img45.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img47.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img49.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img50.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img61.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img67.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img93.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img96.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img130.jpg,Images/MSR-VTT-videoTestVideo_video8672-shot1_1/img137.jpg,1693,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.022135417,-0.092447917,1,0,0,image_7,0,7,7,10,1,323,The right arm of the person in pink can be seen but just barely.  It is very blurry.  The right arm of the person with the dark top on in the foreground can now be seen but part of it is cut off on the left. ,H,0,8,MSR-VTT-videoTestVideo_video9737-shot4_0,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img2.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img6.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img8.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img11.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img13.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img15.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img19.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img21.jpg,Images/MSR-VTT-videoTestVideo_video9737-shot4_0/img24.jpg,263,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,0.427083333,0.125,1,0,0,image_4,0,8,8,41,1,1690,A couple of people standing on a tennis court.,M,0,7,MSR-VTT-videoTestVideo_video7286-shot1_0,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img0.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img6.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img12.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img40.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img75.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img81.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img85.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img92.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img102.jpg,Images/MSR-VTT-videoTestVideo_video7286-shot1_0/img105.jpg,508,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
,,,,,,,,,,,,,,,,,-0.2421875,-0.177083333,1,0,0,image_6,0,9,9,48,1,215,There is white text at the bottom.  The character is looking to the left with a small part of the blue glowing on the left.,H,0,3,MSR-VTT-videoTestVideo_video8027-shot1_1,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img74.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img75.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img78.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img84.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img86.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img90.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img94.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img98.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img140.jpg,Images/MSR-VTT-videoTestVideo_video8027-shot1_1/img159.jpg,1015,35,0,2022-06-16_04h11.42.674,annotation,2021.2.3,Win32,70.41261794,,
